Author,Timestamp,Likes,Total_Replies,Comment_Content,Processed_Text,AI_Star_Rating,AI_Confidence,Sentiment_Score
@mizumizukis,37:54:00,1,0,37:54 you're gonna have a what,37:54 you're gonna have a what,1,0.2225949913263321,-0.222594991
@meatlessflower,5:43,0,0,"@5:43 rogan: “yea, whats day 1 like? you win, you get inaugurated, holy shit im president.” 😂 trump: “yea, thats what happened, so…” 😂","@5:43 rogan: “yea, whats day 1 like? you win, you get inaugurated, holy shit im president.” face_with_tears_of_joy trump: “yea, thats what happened, so…” face_with_tears_of_joy",1,0.6427565217018127,-0.642756522
@mellymoke,2:58:48,1,0,2:58:48,2:58:48,3,0.2263217568397522,0
@mernest6835,2:13:33,1,0,2:13:33 yeah trump is definitely not like this,2:13:33 yeah trump is definitely not like this,1,0.5226041078567505,-0.522604108
@taylorgarza8605,1:29:23,1,0,Anyone else see trumps eye at 1:29:23? Kinda weird,Anyone else see trumps eye at 1:29:23? Kinda weird,1,0.3702743649482727,-0.370274365
@LowStakesBaller,2:45:00,1,1,2:45:00 If you’re hear to hear about Aliens 😂😂😂,2:45:00 If you’re hear to hear about Aliens face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,1,0.3803739845752716,-0.380373985
@cameronvanatti,2:04:35,0,0,"2:04:35 all we need to do is give out grants to families to pay for gardening supplies and educational materials. And probably force union-ize all Americans to give them better pay and working conditions, and to give them more time off work.","2:04:35 all we need to do is give out grants to families to pay for gardening supplies and educational materials. And probably force union-ize all Americans to give them better pay and working conditions, and to give them more time off work.",2,0.3276996612548828,-0.163849831
@Sir.co2,1:25:28,1,0,"at 1:25:28 when they start talking about ""evil people""... his reaction definitely shows his insights of the Epstein files, especially now since its been out.","at 1:25:28 when they start talking about ""evil people"".. his reaction definitely shows his insights of the Epstein files, especially now since its been out.",4,0.4078989028930664,0.2039494514465332
@martincarlberg9671,1:52:30,0,0,1:52:30 - Fedor?,1:52:30 - Fedor?,1,0.38973432779312134,-0.389734328
@justthink3375,2:50,0,0,2:50 so now we know why NBC turned against him they didn’t want him to leave,2:50 so now we know why NBC turned against him they didn’t want him to leave,1,0.629308283,-0.629308283
@AnthonyNardone999,43:54:00,0,0,43:54 is a perfect instagram reels car edit,43:54 is a perfect instagram reels car edit,5,0.7399431467056274,0.7399431467056274
@Patriotview-d3w,57:22:00,2,0,57:22:00,57:22:00,3,0.2376319319009781,0
@wuagsaodbe9adhs,1:26:29,1,2,1:26:29,1:26:29,1,0.25442054867744446,-0.254420549
@Cambio-Lateral,1:20:00,1,0,1:20:00,1:20:00,1,0.36427754163742065,-0.364277542
@ImperialorbEmperess,22:28,0,0,22:28 lol I picked the wrong ones two. Takers they take everything and greedy.,22:28 lol I picked the wrong ones two. Takers they take everything and greedy.,1,0.41344040632247925,-0.413440406
@ImperialorbEmperess,18:31,0,0,18:31 so since I haven’t had control of my apps I have been talking to Elon. He follows thru somewhat. Lol he’s been tricking me. I am the one that license not Arkansas born natives.,18:31 so since I haven’t had control of my apps I have been talking to Elon. He follows thru somewhat. Lol he’s been tricking me. I am the one that license not Arkansas born natives.,3,0.3302396237850189,0
@ImperialorbEmperess,16:43,0,0,16:43 my car 4 flat tires before the last 3 elections,16:43 my car 4 flat tires before the last 3 elections,1,0.5399407744407654,-0.539940774
@ImperialorbEmperess,15:47,0,0,15:47 I’m independent,15:47 I’m independent,1,0.23760953545570374,-0.237609535
@ImperialorbEmperess,20:03,0,0,20:03 me ? Or mom o,20:03 me ? Or mom o,1,0.3863915205001831,-0.386391521
@ImperialorbEmperess,19:33,0,0,19:33 right,19:33 right,1,0.24054256081581116,-0.240542561
@ImperialorbEmperess,18:27,0,0,18:27 I will work,18:27 I will work,5,0.37873584032058716,0.37873584032058716
@ImperialorbEmperess,16:59,0,0,16:59 ugh,16:59 ugh,1,0.34277406334877014,-0.342774063
@ImperialorbEmperess,16:33,0,0,16:33 not me,16:33 not me,1,0.5239143371582031,-0.523914337
@ImperialorbEmperess,13:58,0,0,13:58 make an appointment with me today.,13:58 make an appointment with me today.,5,0.4793403148651123,0.4793403148651123
@ImperialorbEmperess,12:49,0,0,12:49 those two blocked you on my twitter they throw ya under the bus! Then suspend my api account,12:49 those two blocked you on my twitter they throw ya under the bus! Then suspend my api account,1,0.8393733501434326,-0.83937335
@ImperialorbEmperess,11:26,0,0,11:26 Elon and Robert are against me got the trust and title arrest them Rico charges,11:26 Elon and Robert are against me got the trust and title arrest them Rico charges,1,0.7825345993041992,-0.782534599
@ImperialorbEmperess,9:42,0,0,9:42 I remember it was said he talked to me. Elon. Robert beat me he has my computer.,9:42 I remember it was said he talked to me. Elon. Robert beat me he has my computer.,1,0.4968651533126831,-0.496865153
@ImperialorbEmperess,9:13,0,0,9:13 fits 5 foot 4,9:13 fits 5 foot 4,5,0.2440231442451477,0.2440231442451477
@ImperialorbEmperess,8:35,0,0,8:35 lol he doesn’t fit lmao,8:35 lol he doesn’t fit lmao,1,0.5968109369277954,-0.596810937
@ImperialorbEmperess,1:09:19,0,0,1:09:19 Biden fraud,1:09:19 Biden fraud,1,0.7998928427696228,-0.799892843
@ImperialorbEmperess,1:04:44,0,0,1:04:44 who is making decisions? A terrorist and then they’re saying the governess did it. Return my computer and fix it!,1:04:44 who is making decisions? A terrorist and then they’re saying the governess did it. Return my computer and fix it!,1,0.7879594564437866,-0.787959456
@ImperialorbEmperess,1:16:11,0,0,1:16:11 who was the puppet master! Start The RICO charges. Return my title please.,1:16:11 who was the puppet master! Start The RICO charges. Return my title please.,1,0.7670154571533203,-0.767015457
@KIMNAMSUCK,1:28:31,0,0,1:28:31,1:28:31,1,0.26142260432243347,-0.261422604
@ElliottErnst,4:20,0,0,4:20 AM this is good.,4:20 AM this is good.,4,0.46555793285369873,0.23277896642684937
@Bigreddog2099,24:15:00,1,0,24:15 44:54 45:08 2:15:31,24:15 44:54 45:08 2:15:31,1,0.30158329010009766,-0.30158329
@Ross3Doz,49:24:00,0,4,49:24 Bomb Venezuela,49:24 Bomb Venezuela,1,0.5604915618896484,-0.560491562
@BartCoz,1:36:23,1,0,1:36:23 😂😂,1:36:23 face_with_tears_of_joy face_with_tears_of_joy,1,0.3094383776187897,-0.309438378
@Never-Too-High,43:55:00,3,0,43:55 some dj should remix that,43:55 some dj should remix that,3,0.3191240727901459,0
@rollin60z,28:51:00,0,0,Women 28:51,Women 28:51,3,0.25888895988464355,0
@Insanity14159,0:30,0,0,00:30 Gawk Gawk 9000 has met it's rival.,00:30 Gawk Gawk 900 has met it's rival.,5,0.27040273,0.27040273
